user_id,index,ratings
1,24,5
1,123,3
1,51,1
1,76,4
1,139,4
1,68,2
1,23,5
1,60,2
1,109,5
1,90,1
2,125,3
2,45,3
2,83,3
2,130,2
2,52,1
2,139,1
2,103,2
2,109,3
2,129,2
2,83,4
3,125,1
3,69,4
3,112,4
3,118,4
3,89,3
3,90,4
3,135,4
3,13,3
3,111,3
3,83,4
4,21,3
4,7,1
4,53,3
4,102,2
4,52,4
4,1,3
4,45,4
4,110,4
4,123,2
4,92,2
5,14,4
5,60,1
5,93,3
5,123,4
5,92,2
5,30,2
5,13,1
5,29,5
5,118,4
5,120,2
6,61,4
6,23,4
6,63,3
6,17,3
6,83,3
6,75,3
6,59,2
6,77,4
6,48,1
6,5,1
7,92,4
7,3,3
7,95,1
7,127,5
7,81,1
7,54,2
7,131,1
7,107,1
7,49,4
7,113,5
8,55,3
8,106,4
8,110,5
8,109,3
8,113,3
8,132,4
8,20,3
8,90,5
8,83,3
8,81,3
9,16,2
9,108,1
9,134,4
9,111,2
9,17,4
9,9,3
9,1,1
9,48,5
9,4,2
9,58,4
10,125,5
10,127,2
10,7,4
10,58,1
10,65,1
10,33,1
10,17,1
10,115,4
10,92,2
10,137,4
11,121,1
11,94,5
11,76,3
11,98,2
11,6,5
11,36,1
11,133,1
11,116,5
11,9,1
11,105,3
12,127,1
12,83,2
12,28,2
12,114,3
12,117,1
12,140,4
12,75,5
12,132,5
12,33,2
12,53,3
13,2,4
13,141,5
13,49,3
13,136,2
13,126,5
13,123,2
13,35,3
13,49,3
13,7,3
13,8,2
14,123,4
14,39,1
14,117,1
14,15,5
14,42,4
14,9,5
14,22,3
14,121,1
14,105,2
14,91,2
15,52,1
15,69,5
15,50,1
15,129,1
15,12,5
15,36,3
15,80,3
15,87,1
15,13,5
15,133,3
16,25,5
16,127,3
16,120,3
16,59,3
16,75,4
16,87,2
16,79,3
16,77,3
16,58,2
16,46,1
17,44,2
17,87,1
17,38,1
17,75,5
17,21,3
17,84,2
17,57,5
17,62,3
17,89,5
17,23,1
18,89,2
18,41,4
18,134,3
18,110,2
18,24,4
18,30,4
18,119,5
18,106,3
18,137,5
18,96,3
19,98,5
19,114,1
19,60,1
19,6,3
19,107,4
19,72,2
19,12,4
19,94,2
19,41,4
19,98,1
20,46,2
20,0,5
20,58,4
20,13,5
20,80,3
20,119,1
20,139,5
20,119,2
20,66,3
20,95,2
21,48,4
21,97,3
21,97,4
21,31,5
21,106,2
21,68,2
21,70,1
21,98,1
21,73,2
21,83,4
22,73,2
22,98,1
22,110,4
22,89,4
22,13,2
22,63,1
22,90,5
22,82,1
22,91,4
22,121,4
23,112,1
23,58,4
23,109,5
23,117,5
23,75,3
23,11,1
23,128,1
23,89,3
23,27,1
23,3,5
24,34,4
24,70,5
24,99,4
24,63,4
24,103,1
24,50,2
24,115,5
24,112,3
24,26,4
24,42,4
25,114,2
25,35,5
25,4,3
25,71,1
25,14,1
25,36,3
25,98,3
25,87,2
25,0,2
25,5,4
26,34,1
26,3,5
26,66,2
26,133,1
26,133,3
26,38,2
26,120,1
26,135,5
26,69,5
26,73,3
27,64,2
27,104,1
27,6,3
27,68,5
27,132,4
27,28,1
27,136,2
27,48,1
27,82,5
27,95,1
28,84,5
28,30,1
28,123,4
28,27,3
28,36,2
28,59,3
28,115,2
28,37,4
28,119,5
28,114,1
29,140,1
29,126,4
29,103,5
29,81,5
29,115,1
29,130,4
29,72,1
29,39,5
29,26,1
29,25,4
30,96,2
30,85,5
30,5,2
30,42,4
30,44,2
30,80,1
30,72,2
30,3,1
30,73,4
30,57,4
31,30,4
31,67,4
31,61,2
31,27,4
31,66,1
31,8,1
31,132,3
31,120,2
31,17,1
31,108,5
32,79,4
32,87,2
32,89,3
32,39,3
32,92,2
32,9,5
32,94,2
32,99,1
32,98,4
32,38,3
33,111,4
33,86,4
33,139,5
33,91,3
33,96,5
33,111,5
33,140,5
33,133,2
33,26,2
33,25,1
34,134,3
34,91,3
34,43,2
34,130,3
34,32,3
34,135,4
34,13,1
34,13,2
34,121,3
34,4,5
35,22,5
35,43,1
35,108,3
35,104,2
35,104,5
35,7,5
35,37,5
35,15,2
35,111,2
35,14,4
36,17,4
36,112,3
36,67,3
36,102,2
36,55,4
36,70,2
36,139,3
36,51,3
36,30,3
36,46,4
37,102,4
37,60,1
37,18,3
37,138,2
37,86,5
37,16,1
37,16,5
37,40,3
37,95,4
37,59,2
38,44,5
38,104,4
38,20,2
38,89,4
38,125,4
38,61,2
38,16,3
38,102,4
38,137,1
38,49,1
39,62,1
39,68,1
39,5,2
39,66,3
39,67,2
39,88,2
39,127,5
39,27,2
39,103,5
39,32,1
40,62,4
40,59,5
40,10,3
40,19,2
40,86,5
40,127,1
40,135,1
40,34,4
40,90,3
40,87,2
41,59,5
41,40,5
41,89,5
41,121,2
41,76,4
41,0,3
41,85,4
41,122,3
41,15,1
41,28,4
42,121,3
42,47,2
42,91,1
42,16,1
42,125,2
42,84,2
42,29,2
42,135,3
42,78,1
42,99,2
43,78,4
43,64,1
43,110,2
43,115,2
43,107,3
43,27,2
43,140,5
43,122,5
43,138,3
43,90,2
44,88,5
44,4,3
44,119,1
44,99,4
44,120,4
44,91,3
44,60,1
44,50,1
44,87,4
44,19,2
45,98,1
45,53,1
45,3,2
45,24,3
45,103,2
45,48,3
45,57,5
45,64,4
45,32,3
45,121,4
46,26,5
46,90,4
46,42,5
46,103,1
46,71,1
46,53,4
46,45,4
46,116,4
46,129,3
46,70,2
47,101,5
47,102,2
47,31,4
47,61,5
47,61,3
47,28,3
47,14,5
47,14,4
47,19,4
47,60,1
48,13,2
48,43,1
48,14,4
48,1,4
48,133,2
48,108,3
48,40,5
48,45,1
48,85,4
48,20,4
49,137,3
49,118,3
49,41,4
49,14,3
49,69,1
49,101,3
49,21,1
49,65,5
49,121,2
49,120,1
50,64,3
50,108,2
50,11,3
50,123,1
50,36,5
50,22,2
50,30,1
50,0,2
50,139,5
50,87,1
51,85,4
51,23,2
51,129,5
51,110,3
51,11,1
51,58,3
51,130,2
51,116,3
51,59,5
51,69,3
52,131,1
52,111,3
52,90,2
52,96,3
52,133,5
52,52,2
52,69,2
52,99,1
52,75,1
52,141,5
53,106,1
53,72,5
53,53,4
53,18,4
53,108,3
53,141,4
53,34,2
53,103,4
53,6,1
53,38,4
54,97,2
54,54,4
54,85,2
54,131,2
54,120,5
54,1,4
54,27,3
54,13,5
54,141,5
54,107,4
55,98,5
55,97,5
55,44,5
55,66,3
55,66,2
55,25,3
55,43,3
55,101,1
55,53,4
55,137,3
56,13,5
56,0,3
56,55,4
56,113,5
56,95,1
56,84,4
56,130,3
56,91,5
56,116,4
56,39,2
57,53,4
57,111,1
57,49,1
57,60,2
57,113,3
57,5,3
57,109,4
57,141,1
57,94,3
57,45,5
58,135,1
58,25,1
58,19,2
58,94,1
58,12,3
58,78,4
58,96,4
58,137,3
58,33,5
58,17,4
59,10,2
59,108,3
59,70,5
59,98,4
59,64,4
59,40,1
59,22,5
59,126,1
59,28,4
59,85,2
60,64,1
60,53,3
60,85,1
60,124,1
60,64,4
60,118,4
60,84,2
60,136,3
60,29,5
60,135,1
61,57,3
61,5,2
61,63,3
61,70,1
61,124,1
61,84,5
61,127,4
61,46,4
61,82,1
61,94,5
62,74,4
62,8,2
62,41,1
62,70,5
62,9,1
62,30,4
62,139,5
62,33,3
62,116,2
62,68,5
63,138,1
63,103,2
63,97,1
63,76,1
63,104,1
63,23,1
63,0,3
63,31,4
63,122,4
63,106,4
64,85,1
64,28,4
64,126,5
64,53,5
64,107,2
64,122,1
64,107,5
64,78,2
64,98,2
64,63,5
65,65,2
65,64,2
65,128,2
65,68,3
65,57,1
65,130,3
65,56,2
65,25,3
65,10,1
65,3,5
66,76,4
66,59,2
66,7,2
66,15,3
66,134,5
66,15,1
66,99,4
66,8,1
66,30,5
66,57,4
67,68,5
67,95,5
67,79,2
67,3,5
67,50,4
67,29,1
67,32,3
67,111,1
67,120,2
67,91,2
68,6,2
68,11,2
68,77,2
68,71,5
68,58,4
68,43,4
68,47,3
68,54,2
68,77,4
68,118,1
69,51,3
69,133,2
69,132,5
69,89,4
69,91,3
69,139,5
69,96,5
69,54,4
69,111,4
69,116,1
70,95,4
70,99,2
70,108,4
70,103,3
70,98,1
70,91,4
70,88,4
70,137,1
70,72,4
70,133,5
71,60,4
71,73,3
71,127,4
71,49,1
71,104,3
71,133,1
71,92,2
71,18,5
71,50,2
71,93,2
72,9,4
72,65,5
72,133,1
72,61,4
72,18,4
72,31,1
72,32,3
72,115,2
72,136,4
72,103,4
73,8,4
73,78,2
73,4,4
73,91,1
73,82,5
73,42,1
73,119,4
73,136,1
73,116,2
73,91,5
74,36,1
74,136,5
74,119,4
74,54,4
74,135,2
74,96,1
74,103,5
74,41,1
74,5,3
74,122,5
75,53,2
75,124,2
75,139,4
75,115,2
75,136,1
75,62,5
75,18,1
75,27,4
75,127,3
75,17,3
76,102,2
76,34,2
76,134,3
76,74,3
76,6,3
76,116,3
76,63,1
76,74,1
76,56,4
76,45,4
77,93,2
77,37,2
77,12,3
77,61,5
77,98,3
77,123,1
77,97,2
77,22,3
77,31,3
77,61,5
78,68,5
78,127,1
78,46,1
78,24,3
78,114,4
78,90,3
78,10,3
78,97,5
78,10,2
78,25,1
79,118,1
79,128,4
79,47,4
79,125,4
79,132,4
79,54,4
79,137,3
79,96,2
79,113,4
79,101,4
80,54,3
80,30,3
80,123,3
80,4,5
80,131,5
80,83,3
80,11,5
80,129,5
80,60,4
80,76,2
81,102,3
81,18,4
81,107,2
81,19,4
81,54,4
81,96,1
81,91,2
81,113,4
81,121,3
81,69,2
82,80,4
82,72,5
82,136,4
82,132,2
82,31,1
82,19,1
82,111,5
82,14,1
82,28,5
82,120,2
83,21,1
83,129,1
83,125,5
83,76,1
83,138,1
83,117,1
83,107,1
83,26,4
83,130,2
83,18,4
84,86,5
84,120,5
84,42,3
84,94,3
84,113,3
84,30,4
84,108,1
84,67,4
84,65,5
84,16,2
85,118,3
85,22,1
85,19,2
85,103,2
85,132,1
85,32,5
85,30,4
85,4,3
85,53,4
85,5,2
86,23,1
86,35,4
86,59,5
86,74,4
86,60,1
86,23,5
86,21,1
86,28,5
86,73,1
86,108,3
87,57,4
87,140,5
87,78,4
87,76,5
87,56,4
87,27,2
87,41,5
87,105,4
87,132,5
87,100,2
88,10,4
88,130,4
88,20,4
88,74,3
88,8,2
88,128,3
88,103,3
88,110,5
88,12,1
88,42,5
89,121,5
89,107,4
89,137,3
89,30,2
89,16,4
89,81,4
89,27,4
89,134,5
89,101,1
89,42,5
90,124,1
90,14,2
90,73,4
90,48,5
90,130,4
90,51,1
90,17,4
90,102,5
90,50,2
90,110,4
91,41,2
91,51,3
91,133,3
91,128,4
91,45,1
91,11,4
91,22,2
91,4,1
91,108,2
91,80,2
92,59,5
92,75,3
92,39,1
92,89,4
92,71,5
92,47,4
92,13,2
92,62,5
92,28,1
92,38,2
93,127,5
93,14,4
93,125,5
93,82,5
93,7,1
93,133,5
93,53,2
93,117,4
93,105,4
93,37,4
94,67,4
94,104,4
94,99,1
94,131,1
94,124,2
94,103,3
94,89,5
94,76,5
94,18,5
94,114,1
95,113,3
95,98,5
95,34,2
95,59,5
95,13,1
95,30,1
95,71,1
95,45,1
95,80,5
95,93,2
96,5,1
96,27,4
96,136,1
96,93,5
96,103,2
96,6,2
96,54,1
96,20,1
96,138,2
96,124,5
97,113,1
97,91,3
97,41,3
97,110,3
97,23,4
97,12,3
97,131,3
97,89,1
97,76,4
97,76,2
98,87,1
98,26,2
98,70,5
98,57,1
98,129,4
98,134,2
98,64,5
98,9,2
98,40,5
98,1,1
99,66,5
99,74,2
99,42,2
99,54,3
99,67,3
99,16,4
99,17,5
99,30,2
99,118,5
99,74,5
100,123,5
100,136,2
100,109,3
100,6,5
100,48,2
100,76,3
100,68,4
100,31,1
100,4,1
100,140,2
101,105,3
101,9,5
101,101,2
101,34,4
101,87,3
101,124,1
101,49,2
101,64,3
101,47,2
101,9,3
102,92,2
102,22,5
102,20,5
102,43,1
102,75,2
102,77,4
102,80,2
102,12,2
102,97,2
102,2,3
103,86,1
103,18,1
103,116,5
103,12,2
103,23,2
103,4,1
103,100,3
103,34,4
103,68,5
103,83,5
104,80,2
104,18,4
104,5,1
104,86,5
104,7,4
104,18,2
104,122,5
104,68,5
104,28,5
104,134,5
105,93,2
105,90,4
105,126,5
105,53,2
105,87,2
105,85,2
105,60,4
105,9,2
105,53,4
105,76,2
106,60,3
106,125,4
106,56,1
106,118,2
106,116,4
106,7,5
106,3,4
106,22,4
106,4,4
106,96,1
107,123,3
107,67,5
107,97,4
107,16,4
107,112,4
107,55,1
107,106,4
107,131,5
107,59,2
107,49,3
108,55,5
108,138,3
108,63,3
108,108,3
108,66,3
108,96,5
108,81,2
108,104,1
108,36,1
108,88,1
109,22,4
109,53,5
109,50,3
109,135,1
109,54,1
109,127,4
109,60,1
109,129,4
109,111,3
109,119,5
110,74,3
110,88,3
110,58,2
110,100,4
110,67,1
110,105,4
110,127,2
110,38,4
110,69,1
110,121,1
111,21,2
111,118,4
111,108,1
111,7,3
111,24,3
111,48,1
111,113,3
111,42,5
111,31,4
111,108,1
112,21,2
112,79,5
112,1,1
112,97,4
112,115,4
112,68,4
112,12,5
112,44,5
112,24,4
112,46,3
113,137,1
113,13,3
113,127,1
113,123,1
113,64,1
113,8,5
113,9,1
113,139,3
113,121,1
113,92,5
114,66,4
114,1,1
114,118,5
114,132,2
114,42,3
114,63,3
114,137,5
114,21,1
114,62,4
114,78,4
115,26,3
115,93,4
115,25,2
115,116,1
115,133,3
115,84,5
115,88,3
115,138,3
115,50,3
115,125,1
116,122,2
116,73,2
116,109,3
116,47,1
116,126,1
116,35,4
116,4,1
116,130,3
116,51,5
116,26,2
117,68,5
117,14,5
117,57,5
117,47,3
117,10,3
117,114,4
117,76,2
117,111,4
117,97,1
117,109,1
118,36,1
118,24,5
118,54,3
118,27,4
118,79,3
118,12,3
118,90,1
118,30,3
118,34,2
118,122,2
119,110,1
119,9,3
119,31,4
119,92,4
119,31,3
119,24,1
119,60,4
119,138,5
119,119,1
119,47,2
120,137,5
120,24,4
120,139,2
120,16,2
120,42,3
120,6,4
120,97,2
120,116,2
120,82,5
120,28,4
121,97,4
121,4,4
121,76,2
121,40,5
121,66,5
121,140,4
121,131,3
121,128,5
121,5,1
121,83,5
122,20,5
122,66,5
122,133,1
122,107,5
122,9,5
122,19,1
122,86,1
122,81,5
122,120,3
122,47,3
123,131,3
123,109,1
123,124,4
123,123,3
123,121,5
123,92,2
123,72,5
123,65,4
123,9,2
123,20,1
124,5,4
124,29,3
124,59,5
124,62,4
124,5,4
124,1,1
124,9,3
124,127,4
124,58,2
124,96,4
125,25,4
125,113,5
125,124,2
125,58,2
125,122,3
125,123,2
125,94,2
125,19,3
125,79,2
125,84,3
126,46,1
126,138,2
126,10,4
126,116,2
126,30,5
126,55,1
126,127,4
126,123,5
126,5,3
126,6,4
127,110,1
127,19,4
127,66,3
127,92,4
127,3,1
127,87,5
127,51,5
127,116,1
127,31,3
127,114,5
128,62,4
128,58,1
128,58,1
128,119,4
128,31,3
128,34,4
128,138,1
128,140,3
128,141,5
128,31,4
129,68,4
129,2,4
129,43,3
129,55,1
129,122,5
129,36,3
129,122,3
129,60,3
129,80,1
129,75,4
130,71,1
130,32,3
130,50,3
130,134,1
130,109,1
130,117,5
130,69,4
130,113,2
130,129,5
130,79,1
131,29,5
131,76,4
131,118,2
131,18,4
131,92,4
131,42,5
131,64,4
131,34,1
131,105,2
131,87,4
132,136,4
132,110,5
132,107,2
132,139,4
132,34,5
132,53,1
132,121,4
132,89,3
132,137,1
132,114,3
133,56,3
133,31,5
133,89,1
133,60,4
133,85,2
133,21,4
133,77,5
133,133,3
133,46,1
133,5,2
134,129,3
134,23,4
134,110,3
134,137,2
134,19,2
134,137,2
134,82,4
134,27,3
134,4,5
134,32,4
135,81,2
135,84,5
135,114,2
135,56,1
135,91,2
135,138,5
135,121,5
135,74,4
135,99,3
135,56,3
136,132,3
136,52,5
136,117,2
136,135,2
136,108,2
136,69,2
136,19,5
136,43,4
136,12,4
136,107,2
137,35,4
137,130,5
137,60,4
137,128,3
137,111,3
137,134,3
137,84,4
137,10,5
137,88,4
137,72,2
138,59,1
138,93,1
138,77,1
138,99,2
138,107,2
138,126,3
138,73,4
138,131,5
138,103,4
138,33,2
139,46,3
139,43,3
139,89,1
139,85,4
139,111,5
139,48,4
139,63,3
139,1,3
139,110,3
139,68,3
140,121,3
140,35,4
140,32,5
140,14,1
140,123,4
140,91,1
140,28,4
140,122,5
140,45,5
140,32,2
141,2,5
141,48,3
141,33,1
141,75,2
141,72,4
141,53,2
141,99,1
141,127,4
141,51,1
141,41,3
142,135,1
142,68,5
142,18,4
142,73,5
142,116,2
142,69,2
142,57,3
142,86,2
142,125,2
142,14,5
143,112,5
143,37,3
143,0,1
143,72,4
143,62,5
143,123,5
143,101,4
143,5,2
143,47,4
143,41,4
144,4,5
144,25,3
144,43,1
144,63,2
144,112,2
144,9,1
144,32,5
144,35,4
144,52,3
144,56,4
145,80,3
145,100,4
145,64,3
145,44,1
145,126,1
145,48,5
145,7,1
145,35,5
145,10,3
145,54,2
146,140,5
146,45,1
146,56,4
146,87,2
146,113,3
146,94,5
146,66,1
146,72,3
146,128,3
146,133,3
147,94,2
147,85,1
147,61,5
147,0,1
147,61,3
147,5,1
147,62,4
147,125,2
147,134,4
147,19,4
148,136,5
148,101,3
148,106,2
148,126,3
148,76,5
148,103,1
148,41,2
148,117,1
148,104,4
148,58,1
149,43,3
149,58,1
149,88,4
149,59,4
149,141,3
149,140,5
149,16,4
149,8,1
149,52,1
149,37,4
150,60,1
150,51,1
150,61,4
150,121,4
150,141,1
150,53,3
150,56,5
150,104,3
150,62,1
150,85,3
151,50,3
151,7,4
151,132,1
151,65,5
151,125,1
151,115,4
151,104,3
151,53,4
151,66,3
151,92,3
152,86,3
152,108,2
152,104,5
152,52,3
152,48,2
